,compound,positive,negative,neutral
2317,0.9264,0.381,0.0,0.619
2318,0.0,0.0,0.0,1.0
2319,-0.296,0.0,0.167,0.833
2320,0.4648,0.202,0.0,0.798
2321,0.0,0.0,0.0,1.0
2322,0.1796,0.188,0.135,0.677
2323,0.0258,0.058,0.0,0.942
2324,0.6369,0.394,0.0,0.606
2325,0.296,0.262,0.0,0.738
2326,0.0,0.0,0.0,1.0
2327,0.3213,0.159,0.108,0.733
2328,0.6705,0.268,0.0,0.732
2329,0.0,0.0,0.0,1.0
2330,0.4019,0.162,0.0,0.838
2331,-0.8678,0.0,0.47,0.53
2332,0.4526,0.153,0.0,0.847
2333,0.0,0.0,0.0,1.0
2334,0.0,0.0,0.0,1.0
2335,0.4767,0.23,0.1,0.669
2336,0.2023,0.221,0.159,0.621
2337,-0.63,0.199,0.364,0.438
2338,-0.6738,0.111,0.201,0.689
2339,-0.1531,0.0,0.058,0.942
2340,0.8718,0.267,0.065,0.668
2341,0.4404,0.209,0.0,0.791
2342,0.0,0.0,0.0,1.0
2343,-0.9413,0.05,0.369,0.582
2344,0.0,0.0,0.0,1.0
2345,0.0,0.0,0.0,1.0
2346,0.0772,0.08,0.0,0.92
2347,0.7645,0.215,0.091,0.694
2348,0.0008,0.087,0.087,0.826
2349,0.7667,0.37,0.101,0.529
2350,0.0,0.0,0.0,1.0
2351,0.8519,0.454,0.0,0.546
2352,0.9062,0.531,0.0,0.469
2353,0.6697,0.174,0.064,0.762
2354,0.7351,0.353,0.0,0.647
2355,0.7906,0.438,0.0,0.562
2356,0.7579,0.236,0.0,0.764
2357,-0.5859,0.041,0.124,0.835
2358,0.3182,0.141,0.0,0.859
2359,0.4404,0.252,0.135,0.613
2360,0.9471,0.346,0.0,0.654
2361,0.8225,0.518,0.0,0.482
2362,0.7351,0.353,0.129,0.517
2363,0.8687,0.283,0.101,0.616
2364,0.6124,0.385,0.0,0.615
2365,0.937,0.458,0.0,0.542
2366,0.6249,0.577,0.0,0.423
2367,0.3182,0.277,0.0,0.723
2368,0.0,0.0,0.0,1.0
2369,-0.4404,0.0,0.266,0.734
2370,0.7843,0.214,0.0,0.786
2371,0.7256,0.378,0.0,0.622
2372,0.7766,0.494,0.0,0.506
2373,-0.6249,0.09,0.172,0.739
2374,0.6369,0.512,0.0,0.488
2375,0.4767,0.383,0.0,0.617
2376,-0.7034,0.0,0.305,0.695
2377,0.4767,0.344,0.18,0.476
2378,0.3182,0.277,0.0,0.723
2379,0.3182,0.277,0.0,0.723
2380,0.6369,0.321,0.0,0.679
2381,0.5951,0.279,0.0,0.721
2382,0.4215,0.286,0.0,0.714
2383,0.5106,0.268,0.0,0.732
2384,-0.4927,0.0,0.347,0.653
2385,0.3182,0.247,0.0,0.753
2386,0.8074,0.477,0.0,0.523
2387,0.0,0.0,0.0,1.0
2388,0.0772,0.106,0.0,0.894
2389,0.891,0.679,0.0,0.321
2390,0.0,0.0,0.0,1.0
2391,0.3182,0.223,0.0,0.777
2392,0.0,0.0,0.0,1.0
2393,0.7845,0.463,0.0,0.537
2394,0.0,0.0,0.0,1.0
2395,0.6249,0.506,0.0,0.494
2396,0.0,0.0,0.0,1.0
2397,0.872,0.664,0.0,0.336
2398,-0.296,0.0,0.524,0.476
2399,-0.296,0.0,0.216,0.784
2400,0.4019,0.252,0.0,0.748
2401,0.6369,0.296,0.0,0.704
2402,0.743,0.474,0.0,0.526
2403,0.802,0.59,0.0,0.41
2404,0.0,0.0,0.0,1.0
2405,0.0,0.0,0.0,1.0
2406,0.8885,0.253,0.0,0.747
2407,0.802,0.545,0.0,0.455
2408,0.659,0.253,0.0,0.747
2409,0.2263,0.192,0.0,0.808
2410,0.743,0.31,0.0,0.69
2411,0.3182,0.277,0.0,0.723
2412,0.6369,0.677,0.0,0.323
2413,0.6369,0.375,0.0,0.625
2414,0.5256,0.298,0.0,0.702
2415,0.6249,0.506,0.0,0.494
2416,0.7845,0.633,0.0,0.367
2417,0.6249,0.506,0.0,0.494
2418,0.8996,0.687,0.0,0.313
2419,0.5256,0.298,0.0,0.702
2420,0.6249,0.451,0.0,0.549
2421,0.6249,0.406,0.0,0.594
2422,0.4753,0.34,0.0,0.66
2423,0.6249,0.506,0.0,0.494
2424,0.6369,0.344,0.0,0.656
2425,0.6369,0.677,0.0,0.323
2426,0.0,0.0,0.0,1.0
2427,0.0,0.0,0.0,1.0
2428,0.6369,0.677,0.0,0.323
2429,0.6369,0.412,0.0,0.588
2430,0.6369,0.457,0.0,0.543
2431,0.4404,0.326,0.0,0.674
2432,0.4588,0.4,0.0,0.6
2433,0.6249,0.577,0.0,0.423
2434,0.6369,0.412,0.0,0.588
2435,0.6249,0.577,0.0,0.423
2436,-0.2023,0.185,0.25,0.565
2437,0.5859,0.487,0.0,0.513
2438,0.6369,0.512,0.0,0.488
2439,0.0,0.0,0.0,1.0
2440,0.3612,0.294,0.0,0.706
2441,0.6249,0.451,0.0,0.549
2442,0.6249,0.577,0.0,0.423
2443,0.4215,0.359,0.0,0.641
2444,0.6249,0.451,0.0,0.549
2445,0.6249,0.577,0.0,0.423
2446,0.4767,0.383,0.0,0.617
2447,0.0,0.0,0.0,1.0
2448,0.6597,0.474,0.0,0.526
2449,0.4767,0.341,0.0,0.659
2450,0.0,0.0,0.0,1.0
2451,0.8442,0.695,0.0,0.305
2452,0.3804,0.27,0.0,0.73
2453,-0.5574,0.0,0.315,0.685
2454,0.0,0.0,0.0,1.0
2455,0.0,0.0,0.0,1.0
2456,0.1779,0.24,0.182,0.579
2457,0.6369,0.412,0.0,0.588
2458,0.0772,0.178,0.0,0.822
2459,0.5574,0.535,0.0,0.465
2460,0.802,0.643,0.0,0.357
2461,0.4215,0.259,0.0,0.741
2462,0.0,0.0,0.0,1.0
2463,0.6249,0.577,0.0,0.423
2464,0.6369,0.512,0.0,0.488
2465,0.6369,0.512,0.0,0.488
2466,0.5267,0.423,0.0,0.577
2467,0.9685,0.314,0.0,0.686
2468,0.0,0.0,0.0,1.0
2469,-0.1531,0.0,0.211,0.789
2470,0.0772,0.14,0.0,0.86
2471,0.6249,0.577,0.0,0.423
2472,0.0,0.0,0.0,1.0
2473,0.4019,0.31,0.0,0.69
2474,0.6249,0.506,0.0,0.494
2475,0.6369,0.344,0.0,0.656
2476,0.6369,0.677,0.0,0.323
2477,0.0,0.0,0.0,1.0
2478,0.0,0.0,0.0,1.0
2479,0.6249,0.577,0.0,0.423
2480,0.0,0.0,0.0,1.0
2481,0.0,0.0,0.0,1.0
2482,0.4939,0.348,0.0,0.652
2483,0.3182,0.315,0.0,0.685
2484,0.6697,0.473,0.0,0.527
2485,0.3384,0.285,0.0,0.715
2486,-0.296,0.0,0.239,0.761
2487,0.6369,0.583,0.0,0.417
2488,0.6369,0.512,0.0,0.488
2489,0.0,0.0,0.0,1.0
2490,0.0,0.0,0.0,1.0
2491,0.8122,0.213,0.0,0.787
2492,0.0,0.0,0.0,1.0
2493,0.3612,0.333,0.0,0.667
2494,0.0,0.0,0.0,1.0
2495,0.6369,0.583,0.0,0.417
2496,0.0,0.0,0.0,1.0
2497,0.0,0.0,0.0,1.0
2498,0.4019,0.403,0.0,0.597
2499,0.0,0.0,0.0,1.0
2500,0.3182,0.277,0.0,0.723
2501,-0.6369,0.107,0.187,0.706
2502,0.6369,0.457,0.0,0.543
2503,0.0,0.0,0.0,1.0
2504,0.6369,0.677,0.0,0.323
2505,0.6369,0.583,0.0,0.417
2506,0.0,0.0,0.0,1.0
2507,0.6369,0.677,0.0,0.323
2508,0.6369,0.677,0.0,0.323
2509,0.4939,0.286,0.0,0.714
2510,0.0,0.0,0.0,1.0
2511,0.3182,0.315,0.0,0.685
2512,0.6369,0.457,0.0,0.543
2513,0.6369,0.677,0.0,0.323
2514,0.6369,0.677,0.0,0.323
2515,0.6369,0.677,0.0,0.323
2516,0.6369,0.677,0.0,0.323
2517,0.6369,0.677,0.0,0.323
2518,0.6369,0.677,0.0,0.323
2519,0.6369,0.677,0.0,0.323
2520,0.0,0.0,0.0,1.0
2521,0.6369,0.677,0.0,0.323
2522,0.6369,0.677,0.0,0.323
2523,0.0,0.0,0.0,1.0
2524,0.0,0.0,0.0,1.0
2525,0.6369,0.677,0.0,0.323
2526,0.5719,0.552,0.0,0.448
2527,0.6369,0.677,0.0,0.323
2528,0.6369,0.583,0.0,0.417
2529,0.6369,0.677,0.0,0.323
2530,0.6369,0.677,0.0,0.323
2531,0.6369,0.677,0.0,0.323
2532,0.6369,0.677,0.0,0.323
2533,0.0,0.0,0.0,1.0
2534,0.0,0.0,0.0,1.0
2535,0.4404,0.266,0.0,0.734
2536,0.6369,0.457,0.0,0.543
2537,0.7125,0.712,0.0,0.288
2538,0.0772,0.028,0.0,0.972
2539,0.6369,0.677,0.0,0.323
2540,0.6249,0.451,0.0,0.549
2541,0.6369,0.677,0.0,0.323
2542,0.5719,0.649,0.0,0.351
2543,0.6369,0.677,0.0,0.323
2544,0.0,0.0,0.0,1.0
2545,0.6369,0.677,0.0,0.323
2546,0.6369,0.677,0.0,0.323
2547,0.6369,0.583,0.0,0.417
2548,0.0,0.0,0.0,1.0
2549,0.6369,0.677,0.0,0.323
2550,0.6369,0.677,0.0,0.323
2551,0.6369,0.677,0.0,0.323
2552,0.0772,0.178,0.0,0.822
2553,0.6369,0.583,0.0,0.417
2554,0.6988,0.705,0.0,0.295
2555,0.6369,0.677,0.0,0.323
2556,0.6369,0.375,0.0,0.625
2557,0.6369,0.677,0.0,0.323
2558,0.7184,0.185,0.05,0.766
2559,0.6369,0.677,0.0,0.323
2560,0.6369,0.677,0.0,0.323
2561,0.6369,0.677,0.0,0.323
2562,0.0,0.0,0.0,1.0
2563,0.6369,0.677,0.0,0.323
2564,0.6369,0.677,0.0,0.323
2565,0.6369,0.677,0.0,0.323
2566,0.6369,0.677,0.0,0.323
2567,0.7125,0.712,0.0,0.288
2568,0.6369,0.583,0.0,0.417
2569,0.6369,0.677,0.0,0.323
2570,0.6369,0.677,0.0,0.323
2571,0.6588,0.523,0.0,0.477
2572,0.6369,0.677,0.0,0.323
2573,0.6369,0.677,0.0,0.323
2574,0.0,0.0,0.0,1.0
2575,0.6369,0.677,0.0,0.323
2576,0.6369,0.677,0.0,0.323
2577,0.6369,0.677,0.0,0.323
2578,0.9403,0.333,0.045,0.622
2579,0.6369,0.677,0.0,0.323
2580,0.0772,0.025,0.0,0.975
2581,0.6369,0.677,0.0,0.323
2582,0.6369,0.677,0.0,0.323
2583,0.6369,0.677,0.0,0.323
2584,0.6369,0.583,0.0,0.417
2585,0.6908,0.588,0.0,0.412
2586,0.6369,0.677,0.0,0.323
2587,0.6369,0.677,0.0,0.323
2588,0.6369,0.677,0.0,0.323
2589,0.0,0.0,0.0,1.0
2590,0.6369,0.677,0.0,0.323
2591,0.0,0.0,0.0,1.0
2592,0.0,0.0,0.0,1.0
2593,-0.296,0.0,0.268,0.732
2594,0.6369,0.677,0.0,0.323
2595,0.0,0.0,0.0,1.0
2596,0.0,0.0,0.0,1.0
2597,0.6369,0.677,0.0,0.323
2598,0.0,0.0,0.0,1.0
2599,0.6369,0.677,0.0,0.323
2600,0.6369,0.677,0.0,0.323
2601,0.6369,0.677,0.0,0.323
2602,0.6369,0.677,0.0,0.323
2603,0.6369,0.677,0.0,0.323
2604,0.8511,0.211,0.048,0.741
2605,0.0,0.0,0.0,1.0
2606,0.6369,0.198,0.0,0.802
2607,0.0,0.0,0.0,1.0
2608,0.0,0.0,0.0,1.0
2609,-0.296,0.0,0.524,0.476
2610,0.5719,0.649,0.0,0.351
2611,0.0,0.0,0.0,1.0
2612,0.0,0.0,0.0,1.0
2613,0.0,0.0,0.0,1.0
2614,0.6369,0.677,0.0,0.323
2615,0.0,0.0,0.0,1.0
2616,0.4019,0.351,0.0,0.649
2617,0.0,0.0,0.0,1.0
2618,0.0,0.0,0.0,1.0
2619,0.6369,0.677,0.0,0.323
2620,0.0,0.0,0.0,1.0
2621,0.0772,0.157,0.0,0.843
2622,0.0772,0.115,0.0,0.885
2623,-0.1511,0.0,0.285,0.715
2624,0.7096,0.129,0.025,0.847
2625,0.6369,0.677,0.0,0.323
2626,0.6369,0.677,0.0,0.323
2627,0.6369,0.583,0.0,0.417
2628,0.0,0.0,0.0,1.0
2629,0.7845,0.173,0.055,0.772
2630,-0.296,0.0,0.423,0.577
2631,0.4898,0.346,0.0,0.654
2632,0.6369,0.677,0.0,0.323
2633,0.6369,0.677,0.0,0.323
2634,0.0,0.0,0.0,1.0
2635,0.4588,0.6,0.0,0.4
2636,0.0,0.0,0.0,1.0
2637,0.0,0.0,0.0,1.0
2638,0.6369,0.677,0.0,0.323
2639,0.0,0.0,0.0,1.0
2640,0.4019,0.351,0.0,0.649
2641,0.6369,0.512,0.0,0.488
2642,0.6369,0.583,0.0,0.417
2643,0.8396,0.285,0.0,0.715
2644,0.0,0.0,0.0,1.0
2645,0.6369,0.677,0.0,0.323
2646,0.0,0.0,0.0,1.0
2647,0.9741,0.451,0.069,0.48
2648,0.1027,0.139,0.13,0.731
2649,0.4588,0.267,0.0,0.733
2650,0.6369,0.677,0.0,0.323
2651,0.5789,0.179,0.128,0.692
2652,-0.7241,0.0,0.131,0.869
2653,0.688,0.189,0.059,0.752
2654,0.1027,0.151,0.125,0.724
2655,0.8316,0.524,0.0,0.476
2656,0.3182,0.052,0.0,0.948
2657,-0.264,0.0,0.037,0.963
2658,-0.296,0.0,0.104,0.896
2659,0.9557,0.353,0.0,0.647
2660,-0.3617,0.06,0.115,0.825
2661,-0.0724,0.128,0.106,0.766
2662,0.4215,0.088,0.043,0.868
2663,0.0,0.0,0.0,1.0
2664,0.802,0.112,0.0,0.888
2665,-0.2263,0.112,0.13,0.758
2666,0.0,0.0,0.0,1.0
2667,0.0,0.0,0.0,1.0
2668,-0.8422,0.059,0.147,0.794
2669,0.4939,0.084,0.0,0.916
2670,0.3182,0.097,0.071,0.832
2671,0.9216,0.305,0.082,0.613
2672,0.9275,0.228,0.061,0.711
2673,-0.7206,0.068,0.256,0.676
2674,0.8271,0.355,0.0,0.645
2675,0.8658,0.322,0.055,0.623
2676,0.0,0.0,0.0,1.0
2677,0.802,0.427,0.0,0.573
2678,0.0,0.0,0.0,1.0
2679,0.6369,0.512,0.0,0.488
2680,0.6369,0.344,0.0,0.656
2681,0.8074,0.378,0.0,0.622
2682,-0.1027,0.1,0.117,0.783
2683,0.6369,0.677,0.0,0.323
2684,0.0,0.0,0.0,1.0
2685,0.0,0.0,0.0,1.0
2686,0.8689,0.308,0.0,0.692
2687,0.0,0.0,0.0,1.0
2688,-0.5423,0.0,0.538,0.462
2689,0.4019,0.252,0.0,0.748
2690,0.4215,0.737,0.0,0.263
2691,0.0,0.181,0.132,0.686
2692,0.7125,0.712,0.0,0.288
2693,0.6249,0.406,0.0,0.594
2694,0.4404,0.367,0.0,0.633
2695,0.8271,0.145,0.0,0.855
2696,0.0,0.0,0.0,1.0
2697,0.0,0.0,0.0,1.0
2698,0.9118,0.235,0.109,0.656
2699,0.4404,0.592,0.0,0.408
2700,0.0,0.0,0.0,1.0
2701,0.0,0.0,0.0,1.0
2702,0.6249,0.506,0.0,0.494
2703,-0.5574,0.0,0.419,0.581
2704,0.0,0.0,0.0,1.0
2705,0.4215,0.583,0.0,0.417
2706,0.6369,0.677,0.0,0.323
2707,0.0,0.0,0.0,1.0
2708,0.6369,0.677,0.0,0.323
2709,0.6249,0.804,0.0,0.196
2710,0.8625,0.441,0.108,0.451
2711,0.8016,0.418,0.0,0.582
2712,-0.2598,0.113,0.084,0.804
2713,0.6369,0.677,0.0,0.323
2714,-0.874,0.0,0.458,0.542
2715,0.4404,0.492,0.0,0.508
2716,0.4404,0.209,0.0,0.791
2717,0.0,0.0,0.0,1.0
2718,0.6249,0.506,0.0,0.494
2719,0.4215,0.286,0.0,0.714
2720,0.6249,0.672,0.0,0.328
2721,0.7783,0.254,0.06,0.686
2722,0.0,0.0,0.0,1.0
2723,0.4019,0.278,0.0,0.722
2724,-0.1593,0.131,0.144,0.725
2725,0.9231,0.704,0.0,0.296
2726,0.2732,0.412,0.0,0.588
2727,0.0,0.0,0.0,1.0
2728,0.6369,0.677,0.0,0.323
2729,0.4404,0.42,0.0,0.58
2730,0.6249,0.672,0.0,0.328
2731,0.4404,0.744,0.0,0.256
2732,0.6369,0.512,0.0,0.488
2733,0.6369,0.677,0.0,0.323
2734,0.4404,0.492,0.0,0.508
2735,0.6369,0.677,0.0,0.323
2736,0.0,0.0,0.0,1.0
2737,0.4215,0.583,0.0,0.417
2738,0.6249,0.577,0.0,0.423
2739,0.4404,0.592,0.0,0.408
2740,0.6249,0.369,0.0,0.631
2741,0.0772,0.394,0.0,0.606
2742,0.4215,0.583,0.0,0.417
2743,0.6369,0.677,0.0,0.323
2744,0.0,0.0,0.0,1.0
2745,0.6369,0.677,0.0,0.323
2746,0.0,0.0,0.0,1.0
2747,0.0,0.0,0.0,1.0
2748,0.0,0.0,0.0,1.0
2749,0.4927,0.615,0.0,0.385
2750,0.4767,0.22,0.0,0.78
2751,0.0,0.0,0.0,1.0
2752,0.4215,0.583,0.0,0.417
2753,0.6369,0.412,0.0,0.588
2754,0.0,0.0,0.0,1.0
2755,0.6369,0.677,0.0,0.323
2756,0.4404,0.492,0.0,0.508
2757,0.7125,0.712,0.0,0.288
2758,0.1045,0.199,0.166,0.635
2759,-0.296,0.0,0.524,0.476
2760,0.0,0.0,0.0,1.0
2761,0.0,0.0,0.0,1.0
2762,0.6369,0.677,0.0,0.323
2763,0.7125,0.712,0.0,0.288
2764,0.6369,0.677,0.0,0.323
2765,0.6249,0.672,0.0,0.328
2766,0.3182,0.223,0.0,0.777
2767,0.6249,0.451,0.0,0.549
2768,0.0,0.0,0.0,1.0
2769,0.0,0.0,0.0,1.0
2770,0.0,0.0,0.0,1.0
2771,0.6369,0.677,0.0,0.323
2772,0.0,0.0,0.0,1.0
2773,0.0,0.0,0.0,1.0
2774,0.0,0.0,0.0,1.0
2775,0.8428,0.251,0.0,0.749
2776,0.6369,0.677,0.0,0.323
2777,0.7964,0.372,0.0,0.628
2778,-0.296,0.0,0.268,0.732
2779,-0.296,0.0,0.087,0.913
2780,0.5719,0.306,0.179,0.515
2781,-0.7574,0.015,0.102,0.884
2782,0.0,0.0,0.0,1.0
2783,0.0,0.0,0.0,1.0
2784,0.6249,0.672,0.0,0.328
2785,0.6369,0.375,0.0,0.625
2786,0.6249,0.672,0.0,0.328
2787,0.6249,0.672,0.0,0.328
2788,0.0,0.0,0.0,1.0
2789,0.7635,0.376,0.119,0.505
2790,0.6124,0.312,0.0,0.688
2791,0.0,0.0,0.0,1.0
2792,0.6249,0.672,0.0,0.328
2793,0.6369,0.677,0.0,0.323
2794,0.0,0.0,0.0,1.0
2795,0.0,0.0,0.0,1.0
2796,0.6249,0.577,0.0,0.423
2797,0.0,0.0,0.0,1.0
2798,0.4215,0.483,0.0,0.517
2799,0.6249,0.672,0.0,0.328
2800,0.6808,0.412,0.0,0.588
2801,0.0,0.0,0.0,1.0
2802,0.5719,0.381,0.0,0.619
2803,0.0,0.0,0.0,1.0
2804,0.5563,0.183,0.0,0.817
2805,0.4404,0.42,0.0,0.58
2806,0.9312,0.481,0.0,0.519
2807,0.0,0.0,0.0,1.0
2808,0.0,0.0,0.0,1.0
2809,-0.296,0.0,0.196,0.804
2810,-0.8456,0.06,0.146,0.794
2811,0.9719,0.353,0.0,0.647
2812,0.7717,0.528,0.0,0.472
2813,0.6369,0.457,0.0,0.543
2814,0.6369,0.677,0.0,0.323
2815,0.6249,0.506,0.0,0.494
2816,0.7081,0.37,0.0,0.63
2817,0.8074,0.51,0.0,0.49
2818,-0.2273,0.023,0.039,0.938
2819,0.4767,0.279,0.0,0.721
2820,0.8074,0.36,0.0,0.64
2821,0.8746,0.45,0.0,0.55
2822,0.7579,0.481,0.0,0.519
2823,0.8074,0.549,0.0,0.451
2824,0.4767,0.307,0.0,0.693
2825,0.6369,0.457,0.0,0.543
2826,0.4019,0.197,0.0,0.803
2827,0.4767,0.383,0.0,0.617
2828,0.6249,0.506,0.0,0.494
2829,0.8225,0.163,0.0,0.837
2830,-0.3899,0.049,0.102,0.85
2831,0.4404,0.293,0.0,0.707
2832,0.4199,0.259,0.0,0.741
2833,0.836,0.418,0.0,0.582
2834,0.802,0.59,0.0,0.41
2835,0.0,0.0,0.0,1.0
2836,0.6249,0.451,0.0,0.549
2837,-0.4767,0.102,0.268,0.63
2838,0.6369,0.375,0.0,0.625
2839,0.6697,0.379,0.0,0.621
2840,0.7717,0.691,0.0,0.309
2841,0.0,0.0,0.0,1.0
2842,0.6369,0.375,0.0,0.625
2843,0.6369,0.344,0.0,0.656
2844,0.4019,0.231,0.0,0.769
2845,0.7003,0.537,0.0,0.463
2846,0.4767,0.341,0.0,0.659
2847,0.6369,0.412,0.0,0.588
2848,0.0,0.0,0.0,1.0
2849,0.8271,0.685,0.0,0.315
2850,0.8074,0.549,0.0,0.451
2851,0.6369,0.457,0.0,0.543
2852,0.8074,0.51,0.0,0.49
2853,-0.8658,0.041,0.193,0.767
2854,0.6369,0.344,0.0,0.656
2855,0.0258,0.17,0.163,0.667
2856,0.6369,0.512,0.0,0.488
2857,0.7003,0.592,0.0,0.408
2858,0.6369,0.583,0.0,0.417
2859,0.0,0.0,0.0,1.0
2860,0.6369,0.512,0.0,0.488
2861,0.4278,0.288,0.0,0.712
2862,0.0,0.0,0.0,1.0
2863,0.0,0.0,0.0,1.0
2864,0.0,0.0,0.0,1.0
2865,0.7481,0.414,0.0,0.586
2866,0.7125,0.552,0.0,0.448
2867,0.7125,0.622,0.0,0.378
2868,0.0,0.0,0.0,1.0
2869,0.7906,0.636,0.0,0.364
2870,0.9738,0.241,0.021,0.738
2871,0.0772,0.115,0.0,0.885
2872,0.4767,0.437,0.0,0.563
2873,-0.1779,0.168,0.211,0.621
2874,0.0,0.0,0.0,1.0
2875,0.0,0.0,0.0,1.0
2876,0.802,0.474,0.0,0.526
2877,0.8147,0.192,0.087,0.721
2878,0.8402,0.667,0.0,0.333
2879,0.4767,0.437,0.0,0.563
2880,0.6908,0.533,0.0,0.467
2881,0.9796,0.305,0.0,0.695
2882,0.7579,0.481,0.0,0.519
2883,0.6369,0.583,0.0,0.417
2884,0.7845,0.535,0.0,0.465
2885,0.4754,0.382,0.0,0.618
2886,0.0,0.0,0.0,1.0
2887,0.5994,0.494,0.0,0.506
2888,0.0,0.0,0.0,1.0
2889,0.6369,0.344,0.0,0.656
2890,0.6369,0.457,0.0,0.543
2891,0.3182,0.277,0.0,0.723
2892,0.8689,0.583,0.0,0.417
2893,0.7964,0.703,0.0,0.297
2894,0.0,0.0,0.0,1.0
2895,0.6369,0.512,0.0,0.488
2896,0.6369,0.512,0.0,0.488
2897,0.8316,0.722,0.0,0.278
2898,0.3818,0.17,0.151,0.679
2899,0.0258,0.159,0.152,0.69
2900,0.0,0.0,0.0,1.0
2901,0.6369,0.583,0.0,0.417
2902,-0.5106,0.0,0.398,0.602
2903,0.3818,0.565,0.0,0.435
2904,0.6249,0.577,0.0,0.423
2905,0.6369,0.512,0.0,0.488
2906,0.3182,0.247,0.0,0.753
2907,0.0,0.0,0.0,1.0
2908,0.0,0.0,0.0,1.0
2909,0.6249,0.577,0.0,0.423
2910,0.6369,0.457,0.0,0.543
2911,0.6369,0.457,0.0,0.543
2912,0.6369,0.677,0.0,0.323
2913,0.9873,0.266,0.057,0.677
2914,0.6369,0.677,0.0,0.323
2915,0.6369,0.677,0.0,0.323
2916,0.6369,0.677,0.0,0.323
2917,0.0,0.0,0.0,1.0
2918,0.6369,0.677,0.0,0.323
2919,0.0,0.0,0.0,1.0
2920,0.6369,0.677,0.0,0.323
2921,0.3612,0.455,0.0,0.545
2922,0.0,0.0,0.0,1.0
2923,0.6369,0.512,0.0,0.488
2924,-0.4337,0.069,0.08,0.85
2925,0.9583,0.241,0.0,0.759
2926,0.6369,0.583,0.0,0.417
2927,0.0772,0.126,0.0,0.874
2928,0.6369,0.677,0.0,0.323
2929,0.5379,0.465,0.0,0.535
2930,0.7845,0.58,0.0,0.42
2931,0.6369,0.677,0.0,0.323
2932,0.6249,0.577,0.0,0.423
2933,0.6369,0.677,0.0,0.323
2934,0.6369,0.677,0.0,0.323
2935,-0.296,0.0,0.524,0.476
2936,0.6249,0.672,0.0,0.328
2937,0.6369,0.677,0.0,0.323
2938,0.6369,0.677,0.0,0.323
2939,0.0,0.0,0.0,1.0
2940,0.0,0.0,0.0,1.0
2941,0.4754,0.436,0.0,0.564
2942,0.6369,0.677,0.0,0.323
2943,0.6369,0.677,0.0,0.323
2944,0.6369,0.512,0.0,0.488
2945,0.6369,0.512,0.0,0.488
2946,0.6369,0.677,0.0,0.323
2947,0.6369,0.677,0.0,0.323
2948,0.5994,0.661,0.0,0.339
2949,0.5994,0.45,0.0,0.55
2950,0.6369,0.677,0.0,0.323
2951,0.9683,0.324,0.0,0.676
2952,0.807,0.646,0.0,0.354
2953,0.4215,0.483,0.0,0.517
2954,0.0,0.0,0.0,1.0
2955,0.6249,0.672,0.0,0.328
2956,0.8402,0.17,0.0,0.83
2957,0.2732,0.412,0.0,0.588
2958,0.6369,0.583,0.0,0.417
2959,0.6369,0.677,0.0,0.323
2960,0.6369,0.677,0.0,0.323
2961,-0.296,0.0,0.423,0.577
2962,0.6369,0.677,0.0,0.323
2963,0.0,0.0,0.0,1.0
2964,0.9042,0.128,0.017,0.855
2965,0.6249,0.672,0.0,0.328
2966,0.0,0.0,0.0,1.0
2967,-0.657,0.0,0.354,0.646
2968,0.0258,0.159,0.152,0.69
2969,0.0,0.0,0.0,1.0
2970,-0.876,0.027,0.155,0.818
2971,0.9637,0.302,0.033,0.665
2972,0.6369,0.583,0.0,0.417
2973,0.0,0.0,0.0,1.0
2974,0.5994,0.495,0.0,0.505
2975,0.4019,0.474,0.0,0.526
2976,-0.2732,0.0,0.296,0.704
2977,0.4404,0.592,0.0,0.408
2978,0.0,0.0,0.0,1.0
2979,0.6249,0.451,0.0,0.549
2980,0.7003,0.079,0.0,0.921
2981,0.4404,0.592,0.0,0.408
2982,0.8316,0.565,0.0,0.435
2983,0.6369,0.583,0.0,0.417
2984,0.3956,0.07,0.053,0.877
2985,0.0,0.0,0.0,1.0
2986,0.0,0.0,0.0,1.0
2987,0.7506,0.122,0.025,0.853
2988,0.6369,0.677,0.0,0.323
2989,0.7783,0.183,0.074,0.742
2990,0.802,0.507,0.0,0.493
2991,0.6249,0.406,0.0,0.594
2992,0.0,0.0,0.0,1.0
2993,0.9783,0.328,0.0,0.672
2994,0.6249,0.506,0.0,0.494
2995,0.0,0.0,0.0,1.0
2996,0.6369,0.677,0.0,0.323
2997,0.6249,0.451,0.0,0.549
2998,0.0,0.0,0.0,1.0
2999,0.6249,0.506,0.0,0.494
3000,0.0,0.0,0.0,1.0
3001,0.431,0.094,0.0,0.906
3002,0.6369,0.276,0.0,0.724
3003,0.6369,0.677,0.0,0.323
3004,0.0,0.0,0.0,1.0
3005,0.4767,0.341,0.0,0.659
3006,0.5256,0.361,0.0,0.639
3007,0.7384,0.512,0.0,0.488
3008,0.0,0.0,0.0,1.0
3009,0.4019,0.172,0.0,0.828
3010,0.6369,0.677,0.0,0.323
3011,0.7269,0.379,0.0,0.621
3012,0.0,0.0,0.0,1.0
3013,0.6249,0.406,0.0,0.594
3014,0.4215,0.259,0.0,0.741
3015,0.0,0.0,0.0,1.0
3016,0.8573,0.703,0.0,0.297
3017,0.8402,0.692,0.0,0.308
3018,0.3182,0.247,0.0,0.753
3019,0.6369,0.412,0.0,0.588
3020,0.6249,0.577,0.0,0.423
3021,0.9081,0.792,0.0,0.208
3022,0.802,0.706,0.0,0.294
