,compound,positive,negative,neutral
1799,0.0,0.0,0.0,1.0
1800,0.7003,0.254,0.0,0.746
1801,0.6249,0.506,0.0,0.494
1802,-0.5256,0.0,0.404,0.596
1803,0.4927,0.39,0.0,0.61
1804,0.5307,0.275,0.162,0.563
1805,0.0,0.0,0.0,1.0
1806,0.5719,0.481,0.0,0.519
1807,0.6249,0.506,0.0,0.494
1808,0.6249,0.672,0.0,0.328
1809,0.0,0.0,0.0,1.0
1810,0.0,0.0,0.0,1.0
1811,0.6249,0.672,0.0,0.328
1812,0.4215,0.483,0.0,0.517
1813,0.0,0.0,0.0,1.0
1814,0.4019,0.31,0.0,0.69
1815,0.0,0.0,0.0,1.0
1816,0.6249,0.577,0.0,0.423
1817,0.7906,0.583,0.0,0.417
1818,0.6249,0.672,0.0,0.328
1819,0.6705,0.44,0.0,0.56
1820,0.6249,0.506,0.0,0.494
1821,0.0,0.0,0.0,1.0
1822,0.6249,0.577,0.0,0.423
1823,0.6249,0.577,0.0,0.423
1824,0.0,0.0,0.0,1.0
1825,0.6249,0.672,0.0,0.328
1826,0.6249,0.804,0.0,0.196
1827,0.7739,0.31,0.0,0.69
1828,0.659,0.523,0.0,0.477
1829,0.4404,0.592,0.0,0.408
1830,0.5994,0.71,0.0,0.29
1831,0.5106,0.32,0.0,0.68
1832,0.0,0.0,0.0,1.0
1833,0.0772,0.245,0.0,0.755
1834,0.0,0.0,0.0,1.0
1835,0.9392,0.084,0.061,0.856
1836,0.6249,0.577,0.0,0.423
1837,0.9535,0.085,0.058,0.857
1838,-0.3818,0.092,0.204,0.704
1839,0.4754,0.436,0.0,0.564
1840,0.7482,0.472,0.0,0.528
1841,0.0572,0.234,0.0,0.766
1842,0.6249,0.577,0.0,0.423
1843,0.0,0.0,0.0,1.0
1844,0.0,0.0,0.0,1.0
1845,0.0,0.0,0.0,1.0
1846,0.0,0.0,0.0,1.0
1847,0.3182,0.277,0.0,0.723
1848,0.6249,0.672,0.0,0.328
1849,0.0,0.0,0.0,1.0
1850,0.0,0.0,0.0,1.0
1851,0.6249,0.804,0.0,0.196
1852,0.4215,0.219,0.0,0.781
1853,0.802,0.477,0.0,0.523
1854,0.4767,0.383,0.0,0.617
1855,0.6369,0.583,0.0,0.417
1856,0.6249,0.506,0.0,0.494
1857,0.4404,0.492,0.0,0.508
1858,0.0,0.0,0.0,1.0
1859,0.4927,0.516,0.0,0.484
1860,0.0,0.0,0.0,1.0
1861,0.4404,0.592,0.0,0.408
1862,0.6369,0.583,0.0,0.417
1863,0.4404,0.492,0.0,0.508
1864,0.0,0.0,0.0,1.0
1865,0.4215,0.583,0.0,0.417
1866,0.0,0.0,0.0,1.0
1867,0.4215,0.737,0.0,0.263
1868,0.0,0.0,0.0,1.0
1869,0.128,0.151,0.123,0.726
1870,0.6249,0.506,0.0,0.494
1871,0.0,0.0,0.0,1.0
1872,0.4404,0.492,0.0,0.508
1873,0.0,0.0,0.0,1.0
1874,0.4404,0.744,0.0,0.256
1875,0.4404,0.592,0.0,0.408
1876,0.0,0.0,0.0,1.0
1877,0.0,0.0,0.0,1.0
1878,0.6249,0.672,0.0,0.328
1879,0.6249,0.672,0.0,0.328
1880,0.0,0.0,0.0,1.0
1881,0.0,0.0,0.0,1.0
1882,0.4215,0.737,0.0,0.263
1883,0.4767,0.437,0.0,0.563
1884,0.0,0.0,0.0,1.0
1885,0.2732,0.259,0.0,0.741
1886,0.6249,0.577,0.0,0.423
1887,0.4215,0.737,0.0,0.263
1888,0.0,0.0,0.0,1.0
1889,0.0,0.0,0.0,1.0
1890,0.0,0.0,0.0,1.0
1891,0.6249,0.672,0.0,0.328
1892,0.4767,0.608,0.0,0.392
1893,0.7184,0.6,0.0,0.4
1894,0.0,0.0,0.0,1.0
1895,0.0,0.0,0.0,1.0
1896,0.3182,0.535,0.0,0.465
1897,0.0,0.0,0.0,1.0
1898,0.6249,0.804,0.0,0.196
1899,0.4754,0.382,0.0,0.618
1900,0.6249,0.506,0.0,0.494
1901,0.0,0.0,0.0,1.0
1902,0.5994,0.495,0.0,0.505
1903,0.6249,0.804,0.0,0.196
1904,0.0,0.0,0.0,1.0
1905,0.0,0.0,0.0,1.0
1906,0.34,0.405,0.0,0.595
1907,0.5994,0.71,0.0,0.29
1908,0.0,0.0,0.0,1.0
1909,0.0,0.0,0.0,1.0
1910,0.0,0.0,0.0,1.0
1911,0.0772,0.302,0.0,0.698
1912,0.6369,0.677,0.0,0.323
1913,0.6249,0.369,0.0,0.631
1914,0.0,0.0,0.0,1.0
1915,0.0,0.0,0.0,1.0
1916,0.0,0.0,0.0,1.0
1917,0.5719,0.316,0.0,0.684
1918,0.0,0.0,0.0,1.0
1919,0.0,0.0,0.0,1.0
1920,0.4927,0.444,0.0,0.556
1921,0.0,0.0,0.0,1.0
1922,0.0,0.0,0.0,1.0
1923,0.0,0.0,0.0,1.0
1924,0.6249,0.804,0.0,0.196
1925,0.0,0.0,0.0,1.0
1926,0.7003,0.537,0.0,0.463
1927,0.4767,0.383,0.0,0.617
1928,0.4404,0.244,0.0,0.756
1929,0.0,0.0,0.0,1.0
1930,0.6249,0.672,0.0,0.328
1931,0.4927,0.39,0.0,0.61
1932,0.6249,0.451,0.0,0.549
1933,0.6249,0.672,0.0,0.328
1934,0.0,0.0,0.0,1.0
1935,0.0,0.0,0.0,1.0
1936,0.4215,0.483,0.0,0.517
1937,0.6249,0.672,0.0,0.328
1938,0.4767,0.383,0.0,0.617
